name,smarts,S_k,S_t,S_e,depth,n_atoms
daylight_examples.smarts_52,"[CH2X4][#6X3]1:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]:[$([#7X3H+,#7X2H0+0]:[#6X3H]:[#7X3H]),$([#7X3H])]:[#6X3H]1",0.08333333333333333,0.4135802469135802,0.7493141289437586,12,6
daylight_examples.smarts_53,[CHX4]([CH3X4])[CH2X4][CH3X4],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_54,[CH2X4][CHX4]([CH3X4])[CH3X4],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_55,"[CH2X4][CH2X4][CH2X4][CH2X4][NX4+,NX3+0]",0.2222222222222222,0.0,0.7757201646090535,9,5
daylight_examples.smarts_56,[CH2X4][CH2X4][SX2][CH3X4],0.21428571428571427,0.0,0.7795414462081128,7,4
daylight_examples.smarts_57,[CH2X4][cX3]1[cX3H][cX3H][cX3H][cX3H][cX3H]1,0.03571428571428571,0.6785671947994765,0.369047619047619,14,7
daylight_examples.smarts_58,"[$([NX3H,NX4H2+]),$([NX3](C)(C)(C))]1[CX4H]([CH2][CH2][CH2]1)[CX3](=[OX1])[OX2H,OX1-,N]",0.21875,0.19791666666666666,0.749923792104862,16,8
daylight_examples.smarts_59,[CH2X4][OX2H],0.16666666666666666,0.0,0.7777777777777777,3,2
daylight_examples.smarts_60,[NX3][CX3]=[SX1],0.1,0.26666666666666666,0.7814814814814814,5,3
daylight_examples.smarts_61,[CHX4]([CH3X4])[OX2H],0.2,0.0,0.7814814814814814,5,3
daylight_examples.smarts_62,[CH2X4][cX3]1[cX3H][nX3H][cX3]2[cX3H][cX3H][cX3H][cX3H][cX3]12,0.023809523809523808,0.7023767186090002,0.3571428571428571,21,10
daylight_examples.smarts_63,"[CH2X4][cX3]1[cX3H][cX3H][cX3]([OHX2,OH0X1-])[cX3H][cX3H]1",0.0625,0.6249957662280479,0.5069444444444444,16,8
daylight_examples.smarts_64,[CHX4]([CH3X4])[CH3X4],0.2,0.0,0.7814814814814814,5,3
daylight_examples.smarts_65,[CH3X4],0.0,0.6666666666666666,0.0,1,1
daylight_examples.smarts_66,"[CH2X4][CH2X4][CH2X4][NHX3][CH0X3](=[NH2X3+,NHX2+0])[NH2X3]",0.19230769230769232,0.20512820512820512,0.7690021455453554,13,7
