atlas_id,name,type,S_k,S_t,S_e,trit_depth,gateway_trit,n_oscillators
FP_0058,daylight_examples.smarts_59,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0059,daylight_examples.smarts_60,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0060,daylight_examples.smarts_61,molecular,0.2,0.0,0.7814814814814814,5.0,0.0,
FP_0061,daylight_examples.smarts_62,molecular,0.023809523809523808,0.7023767186090002,0.3571428571428571,21.0,0.0,
FP_0062,daylight_examples.smarts_63,molecular,0.0625,0.6249957662280479,0.5069444444444444,16.0,2.0,
FP_0063,daylight_examples.smarts_64,molecular,0.2,0.0,0.7814814814814814,5.0,0.0,
FP_0064,daylight_examples.smarts_65,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0065,daylight_examples.smarts_66,molecular,0.19230769230769232,0.20512820512820512,0.7690021455453554,13.0,2.0,
FP_0066,daylight_examples.smarts_67,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,0.0,
FP_0067,daylight_examples.smarts_68,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0068,daylight_examples.smarts_69,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0069,daylight_examples.smarts_70,molecular,0.16666666666666666,0.2222222222222222,0.7757201646090535,9.0,2.0,
FP_0070,daylight_examples.smarts_71,molecular,0.16666666666666666,0.2222222222222222,0.7757201646090535,9.0,2.0,
FP_0071,daylight_examples.smarts_72,molecular,0.08333333333333333,0.4135802469135802,0.7493141289437586,12.0,2.0,
FP_0072,daylight_examples.smarts_73,molecular,0.21428571428571427,0.0,0.7795414462081128,7.0,0.0,
FP_0073,daylight_examples.smarts_74,molecular,0.21428571428571427,0.0,0.7795414462081128,7.0,0.0,
FP_0074,daylight_examples.smarts_75,molecular,0.2222222222222222,0.0,0.7757201646090535,9.0,2.0,
FP_0075,daylight_examples.smarts_76,molecular,0.21428571428571427,0.0,0.7795414462081128,7.0,0.0,
FP_0076,daylight_examples.smarts_77,molecular,0.03571428571428571,0.6785671947994765,0.369047619047619,14.0,0.0,
FP_0077,daylight_examples.smarts_78,molecular,0.21875,0.19791666666666666,0.749923792104862,16.0,2.0,
FP_0078,daylight_examples.smarts_79,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0079,daylight_examples.smarts_80,molecular,0.2,0.0,0.7814814814814814,5.0,0.0,
FP_0080,daylight_examples.smarts_81,molecular,0.023809523809523808,0.7023767186090002,0.3571428571428571,21.0,0.0,
FP_0081,daylight_examples.smarts_82,molecular,0.0625,0.6249957662280479,0.5069444444444444,16.0,2.0,
FP_0082,daylight_examples.smarts_83,molecular,0.2,0.0,0.7814814814814814,5.0,0.0,
FP_0083,daylight_examples.smarts_84,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0084,daylight_examples.smarts_85,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0085,daylight_examples.smarts_86,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0086,daylight_examples.smarts_87,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,1.0,
FP_0087,daylight_examples.smarts_88,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,1.0,
FP_0088,daylight_examples.smarts_89,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0089,daylight_examples.smarts_90,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0090,daylight_examples.smarts_91,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0091,daylight_examples.smarts_92,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0092,daylight_examples.smarts_93,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,2.0,
FP_0093,daylight_examples.smarts_94,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0094,daylight_examples.smarts_95,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,2.0,
FP_0095,daylight_examples.smarts_96,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,1.0,
FP_0096,daylight_examples.smarts_97,molecular,0.1111111111111111,0.3333333333333333,0.7757201646090535,9.0,0.0,
FP_0097,daylight_examples.smarts_98,molecular,0.13636363636363635,0.31313131313131315,0.7720414016710313,11.0,0.0,
FP_0098,daylight_examples.smarts_99,molecular,0.13157894736842105,0.3521767381416504,0.7631494271929378,19.0,0.0,
FP_0099,daylight_examples.smarts_100,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0100,daylight_examples.smarts_101,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0101,daylight_examples.smarts_102,molecular,0.0,0.0,0.9814814814814814,3.0,2.0,
FP_0102,daylight_examples.smarts_103,molecular,0.0,0.0,0.9814814814814814,3.0,2.0,
FP_0103,daylight_examples.smarts_104,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0104,daylight_examples.smarts_105,molecular,0.16666666666666666,0.0,0.8271604938271604,6.0,2.0,
FP_0105,daylight_examples.smarts_106,molecular,0.0,0.3333333333333333,0.7777777777777777,3.0,1.0,
FP_0106,daylight_examples.smarts_107,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0107,daylight_examples.smarts_108,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0108,daylight_examples.smarts_109,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0109,daylight_examples.smarts_110,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0110,daylight_examples.smarts_111,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0111,daylight_examples.smarts_112,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0112,daylight_examples.smarts_113,molecular,0.1,0.5407407407407407,0.43333333333333335,5.0,0.0,
FP_0113,daylight_examples.smarts_114,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0114,daylight_examples.smarts_115,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0115,daylight_examples.smarts_116,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0116,daylight_examples.smarts_117,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0117,daylight_examples.smarts_118,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0118,daylight_examples.smarts_119,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,0.0,
FP_0119,daylight_examples.smarts_120,molecular,0.16666666666666666,0.2222222222222222,0.7757201646090535,9.0,0.0,
FP_0120,daylight_examples.smarts_121,molecular,0.14285714285714285,0.23809523809523808,0.7795414462081128,7.0,2.0,
FP_0121,daylight_examples.smarts_122,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0122,daylight_examples.smarts_123,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0123,daylight_examples.smarts_124,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0124,daylight_examples.smarts_125,molecular,0.1,0.26666666666666666,0.7814814814814814,5.0,0.0,
FP_0125,daylight_examples.smarts_126,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0126,daylight_examples.smarts_127,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,2.0,
FP_0127,daylight_examples.smarts_128,molecular,0.16666666666666666,0.0,0.7777777777777777,3.0,0.0,
FP_0128,daylight_examples.smarts_129,molecular,0.16666666666666666,0.0,0.8271604938271604,6.0,2.0,
FP_0129,daylight_examples.smarts_130,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0130,daylight_examples.smarts_131,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0131,daylight_examples.smarts_132,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0132,daylight_examples.smarts_133,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0133,daylight_examples.smarts_134,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
FP_0134,daylight_examples.smarts_135,molecular,0.0,0.6666666666666666,0.0,1.0,1.0,
